ID;Nome;Area;Regione;Provincia
001001;Agliè;Nord Ovest;Piemonte;Torino
001002;Airasca;Nord Ovest;Piemonte;Torino
001003;Ala di Stura;Nord Ovest;Piemonte;Torino
001004;Albiano d'Ivrea;Nord Ovest;Piemonte;Torino
001006;Almese;Nord Ovest;Piemonte;Torino
001007;Alpette;Nord Ovest;Piemonte;Torino
001008;Alpignano;Nord Ovest;Piemonte;Torino
001009;Andezeno;Nord Ovest;Piemonte;Torino
001010;Andrate;Nord Ovest;Piemonte;Torino
001011;Angrogna;Nord Ovest;Piemonte;Torino
001012;Arignano;Nord Ovest;Piemonte;Torino
001013;Avigliana;Nord Ovest;Piemonte;Torino
001014;Azeglio;Nord Ovest;Piemonte;Torino
001015;Bairo;Nord Ovest;Piemonte;Torino
001016;Balangero;Nord Ovest;Piemonte;Torino
001017;Baldissero Canavese;Nord Ovest;Piemonte;Torino
001018;Baldissero Torinese;Nord Ovest;Piemonte;Torino
001019;Balme;Nord Ovest;Piemonte;Torino
001020;Banchette;Nord Ovest;Piemonte;Torino
001021;Barbania;Nord Ovest;Piemonte;Torino
001022;Bardonecchia;Nord Ovest;Piemonte;Torino
001023;Barone Canavese;Nord Ovest;Piemonte;Torino
001024;Beinasco;Nord Ovest;Piemonte;Torino
001025;Bibiana;Nord Ovest;Piemonte;Torino
001026;Bobbio Pellice;Nord Ovest;Piemonte;Torino
001027;Bollengo;Nord Ovest;Piemonte;Torino
001028;Borgaro Torinese;Nord Ovest;Piemonte;Torino
001029;Borgiallo;Nord Ovest;Piemonte;Torino
001030;Borgofranco d'Ivrea;Nord Ovest;Piemonte;Torino
001031;Borgomasino;Nord Ovest;Piemonte;Torino
001032;Borgone Susa;Nord Ovest;Piemonte;Torino
001033;Bosconero;Nord Ovest;Piemonte;Torino
001034;Brandizzo;Nord Ovest;Piemonte;Torino
001035;Bricherasio;Nord Ovest;Piemonte;Torino
001036;Brosso;Nord Ovest;Piemonte;Torino
001037;Brozolo;Nord Ovest;Piemonte;Torino
001038;Bruino;Nord Ovest;Piemonte;Torino
001039;Brusasco;Nord Ovest;Piemonte;Torino
001040;Bruzolo;Nord Ovest;Piemonte;Torino
