Istituto Principale,Scuola,Tipo Istituto,Tipo Gestione,Indirizzo,Comune,Telefono,Fax,Email istituto,Email segreteria,Sito web,Codice MIUR,CAP
ASSOCIAZIONE RUDOLF STEINER PER LA PEDAGOGIA APS - ROVERETO,Asilo Colle Fiorito,Scuola Materna,Paritaria,"Via Stazione Mori, 10",ROVERETO,0464 434899,,,,,,38068
"Scuola dell'infanzia di Breguzzo - Bondo  ""Giuseppina Bonazza""","Scuola dell'Infanzia di Breguzzo - Bondo  ""Giuseppina Bonazza""",Scuola dell'infanzia,Paritaria,"Via Marconi - Breguzzo, 5",SELLA GIUDICARIE,0465-901550,,breguzzo.bondo.materna@pec.associazionecoesi.com,,,,38087
"Scuola dell'infanzia di Riva ""Giardino""","Scuola dell'Infanzia di Riva  ""Giardino""",Scuola dell'infanzia,Paritaria,"Viale Roma, 32",RIVA DEL GARDA,0464-552360,0464-560456,rivagiardino.materna@pec.associazionecoesi.com,,,,38066
"Scuola dell'infanzia di Lavis  ""Madre Maddalena di Canossa""","Scuola dell'Infanzia di Lavis  ""Madre Maddalena di Canossa""",Scuola dell'infanzia,Paritaria,"Via Dei Colli, 4",LAVIS,0461 240366,0461-249078,lavis.materna@pec.associazionecoesi.com,,,,38015
"Scuola dell'infanzia di Rovereto  ""Clementino Vannetti""","Scuola dell'Infanzia di Rovereto  ""Clementino Vannetti""",Scuola dell'infanzia,Paritaria,"Via S Maria, 58",ROVERETO,0464-420061,,asilovannetti@pec.it,asilovannetti@gmail.com,,,38068
Scuola dell'infanzia di Ranzo,Scuola dell'Infanzia di Ranzo,Scuola dell'infanzia,Paritaria,"Via al Castel Romano - Ranzo - Vezzano, 29",VALLELAGHI,0461-844205,,ranzo.materna@pec.associazionecoesi.com,,,,38070
"Scuola dell'infanzia di Roncone  ""Mario Amistadi Sciavina""","Scuola dell'Infanzia di Roncone  ""Mario Amistadi Sciavina""",Scuola dell'infanzia,Paritaria,"Via Lucchi - Roncone, 1",SELLA GIUDICARIE,0465-901285,0465-901285,roncone.materna@pec.associazionecoesi.com,,,,38087
ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO,ASSOCIAZIONE R. STEINER - PRIMARIA,Scuola Primaria,Paritaria,"Via Conci, 86",TRENTO,0461/930658,,associazione@pec.scuolasteiner-trento.it,segreteria@scuolasteiner-trento.it,www.scuolasteiner-trento.it,TN1E00900D,38123
Scuola dell'infanzia di Cavalese,Scuola dell'Infanzia di Cavalese,Scuola dell'infanzia,Paritaria,"Via Regolani, 4",CAVALESE,0462-341673,,cavalese.segretario@fpsm.tn.it,,,,38033
Scuola dell'infanzia di Masi di Cavalese,Scuola dell'Infanzia di Masi di Cavalese,Scuola dell'infanzia,Paritaria,"Via Damiano Chiesa, 79",CAVALESE,0462 340557,,cavalese.segretario@fpsm.tn.it,,,,38033
