population,area,province,id,name,address,cap,mun_id,municipality,grade,email,pec,website,type,school_type,geometry
8792,Nord Est,Trento,TNEE84802V,Ala - Serravalle,"Via Luigi Negrelli, 10",38060,A116,Ala,Scuola Primaria,,,www.istitutocomprensivoala.it,Statale,Normale,POINT (11.01434050748773 45.8114198111741)
8792,Nord Est,Trento,TNEE84801T,"Ala ""Abramo Betta""","Via Abramo Betta, 9",38061,A116,Ala,Scuola Primaria,,,www.istitutocomprensivoala.it,Statale,Normale,POINT (11.001746922897041 45.75662835547)
8792,Nord Est,Trento,TNIC84800Q,"""Ala""","Via Don Anzelini, 2",38061,A116,Ala,Istituto Comprensivo,segr.ic.ala@scuole.provincia.tn.it,ic.ala@pec.provincia.tn.it,,Statale,Normale,POINT (11.00148998713189 45.770709982966395)
8792,Nord Est,Trento,TNMM84801R,"Ala ""Cesare Battisti""","Via Don Anzelini, 2",38061,A116,Ala,Scuola Primo Grado,,,www.istitutocomprensivoala.it,Statale,Normale,POINT (11.00148998713189 45.770709982966395)
1500,Nord Est,Trento,TNMM817026,Albiano,"Via Manzoni, 10",38041,A158,Albiano,Scuola Primo Grado,,,http://iccivezzano.infovals.eu,Statale,Normale,POINT (11.194745159234175 46.141531586828826)
1500,Nord Est,Trento,TNEE817049,Albiano,"Via Alessandro Manzoni, 10",38041,A158,Albiano,Scuola Primaria,,,http://iccivezzano.infovals.eu,Statale,Normale,POINT (11.194745159234175 46.141531586828826)
3187,Nord Est,Trento,TNEE82102V,Aldeno,Via 25 Aprile,38060,A178,Aldeno,Scuola Primaria,,,www.icaldenomattarello.it,Statale,Normale,POINT (11.095500957985756 45.97351565090032)
3187,Nord Est,Trento,TNMM82101R,Aldeno,"Via Della Croce, 2",38060,A178,Aldeno,Scuola Primo Grado,,,www.istituti.vivoscuola.it/spaziowebmediemattarello/medie_mat,Statale,Normale,POINT (11.092819958502815 45.9753199927394)
1612,Nord Est,Trento,TNEE82202P,Altavalle - Faver,"Via Campagna, 1",38030,M349,Altavalle,Scuola Primaria,,,www.iccembra.it,Statale,Normale,POINT (11.236159974353455 46.180949996309806)
1268,Nord Est,Trento,TNMM82403A,"Andalo ""Cesare Battisti""","Piazza S. Vito, 1",38010,A274,Andalo,Scuola Primo Grado,,,www.icmezzolombardo.it,Statale,Normale,POINT (11.006000037773504 46.165899995791676)
1268,Nord Est,Trento,TNEE82406E,Andalo,"Piazza San Vito, 2",38010,A274,Andalo,Scuola Primaria,,,www.icmezzolombardo.it,Statale,Normale,POINT (11.006279993339575 46.165819990525875)
17798,Nord Est,Trento,TNEE84004A,Arco - Romarzollo,"Via Della Fossa, 6",38062,A372,Arco,Scuola Primaria,,,www.icarco.gov.it,Statale,Normale,POINT (10.866819960468831 45.919050013608796)
17798,Nord Est,Trento,TNMM840016,"Arco ""Nicolo' D'Arco""",Loc. Prabi,38062,A372,Arco,Scuola Primo Grado,,,www.icarco.gov.it,Statale,Normale,POINT (10.88599000000005 45.917940000000044)
17798,Nord Est,Trento,TNEE840028,Arco - Massone,"Via A.Maffei, 2",38060,A372,Arco,Scuola Primaria,,,www.icarco.gov.it,Statale,Normale,POINT (10.898659960785267 45.92388000149461)
17798,Nord Est,Trento,TNEE840017,Arco - Bolognano,"Viale Stazione, 2",38060,A372,Arco,Scuola Primaria,,,www.icarco.gov.it,Statale,Normale,POINT (10.892200028007949 45.878710009101184)
17798,Nord Est,Trento,TNEE840039,"Arco ""Giovanni Segantini""","Via Nas, 28",38062,A372,Arco,Scuola Primaria,,,www.icarco.gov.it,Statale,Normale,POINT (10.877179464816596 45.91720972682846)
17798,Nord Est,Trento,TNIC840005,"""Arco""",Loc. Prabi,38062,A372,Arco,Istituto Comprensivo,segr.ic.arco@scuole.provincia.tn.it,ic.arco@pec.provincia.tn.it,,Statale,Normale,POINT (10.881480000000067 45.91667000000007)
17798,Nord Est,Trento,TN1M00800V,"Gardascuola ""Padre Monti""",Via Xxiv Maggio 1,38062,A372,Arco,Scuola Sec. Primo Grado ,istituto@gardascuola.it,,,Paritaria,Paritaria,POINT (10.839490010794009 45.91263999506489)
17798,Nord Est,Trento,TNPS00500B,Gardascuola,Via Xxiv Maggio 1,38062,A372,Arco,Scuola Sec. Secondo Grado ,segreteria@gardascuola.it,,,Paritaria,Paritaria,POINT (10.839490010794009 45.91263999506489)
17798,Nord Est,Trento,TN1E00800N,Scuola Primaria Gardascuola,Via Xxiv Maggio 1,38062,A372,Arco,Scuola Primaria ,istituto@gardascuola.it,,,Paritaria,Paritaria,POINT (10.839490010794009 45.91263999506489)
17798,Nord Est,Trento,TNTN04500G,"Istituto ""Gardascuola""",Via Xxiv Maggio 1,38062,A372,Arco,Scuola Sec. Secondo Grado ,segreteria@gardascuola.it,,www.gardascuola.it,Paritaria,Paritaria,POINT (10.839490010794009 45.91263999506489)
4072,Nord Est,Trento,TNEE847012,Avio,"Via M.Perotti, 47",38063,A520,Avio,Scuola Primaria,,,www.istitutoavio.it,Statale,Normale,POINT (10.943740015357605 45.73755000053791)
4072,Nord Est,Trento,TNEE847023,Avio - Sabbionara,Piazza Conciliazione,38063,A520,Avio,Scuola Primaria,,,www.istitutoavio.it,Statale,Normale,POINT (10.953652023335437 45.74022835504588)
4072,Nord Est,Trento,TNIC84700X,"""Avio""","Via Perotti, 47",38063,A520,Avio,Istituto Comprensivo,segr.ic.avio@scuole.provincia.tn.it,ic.avio@pec.provincia.tn.it,,Statale,Normale,POINT (10.943740015357605 45.73755000053791)
4072,Nord Est,Trento,TNMM847011,"Avio ""Dante Alighieri""","Viale Degasperi, 69",38063,A520,Avio,Scuola Primo Grado,,,www.istitutoavio.it,Statale,Normale,POINT (10.946000027910799 45.7374000063806)
1470,Nord Est,Trento,TNEE81605E,"Bedollo ""Abramo Andreatta""","Via Sant'Osvaldo, 9",38043,A730,Bedollo,Scuola Primaria,,,http://icpine.eu,Statale,Normale,POINT (11.301079993742093 46.16663999211352)
2746,Nord Est,Trento,TNEE86001C,"Besenello ""Silvio Pellico""","Via Alcide Degasperi, 1",38060,A821,Besenello,Scuola Primaria,,,ic-altavallagarina.it,Statale,Normale,POINT (11.110033794087858 45.94167454746899)
