amenity,classification,it_description
animal_boarding,"0",imbarco animali
animal_breeding,"0",allevamento
animal_shelter,"0",rifugio per animali
animal_training,"0",addestramento animali
arts_centre,"1",centro d'arte
atm,"0",sportello
bank,"0",banca
bar,"1",bar
bbq,"0",barbecue
bench,"1",panchina
bench;waste_basket,"1",cestino; panchina
bicycle_parking,"1",parcheggio per bici
bicycle_rental,"1",noleggio bici
bicycle_repair_station,"1",riparazione bici
biergarten,"-1",birrificio
bird feeder,"0",mangiatoia per uccelli
boat_rental,"0",noleggio barche
bus_station,"1",stazione del bus
cafe,"1",bar
car_rental,"0",noleggio auto
car_sharing,"0",car sharing
car_wash,"0",autolavaggio
cattle_shed,"0",stalla
charging_station,"-1",stazione di ricarica
childcare,"1",centro per l'infanzia
cinema,"1",cinema
clinic,"1",clinica
clock,"0",orologio
club,"-1",club
college,"1",università
community_centre,"1",centro sociale
compressed_air,"0",aria compressa
conference_centre,"1",centro conferenze
courthouse,"0",tribunale
dentist,"1",dentista
dive_centre,"0",centro immersioni
doctors,"1",dottore
dog_training,"0",allenamento cani
dojo,"1",dojo
drinking_water,"1",acqua potabile
driving_school,"1",scuola di guida
events_venue,"1",eventi
fast_food,"1",fast food
feeding_place,"1",alimentazione
ferry_terminal,"0",terminale traghetti
festival_ground,"1",eventi musicali
fire_extinguisher,"1",estintore
fire_station,"1",caserma dei pompieri
first_aid,"1",pronto soccorso
food_court,"1",alimentazione
fountain,"1",fontana
fuel,"0",carburante
gambling,"-1",gioco d'azzardo
grave_yard,"-1",cimitero
gym,"1",palestra
herbalist,"0",erborista
hospital,"1",ospedale
hunting_stand,"-1",caccia
ice_cream,"1",gelateria
intermodal_station,"1",stazione
Isola Ecologica,"0",isola ecologica
kindergarten,"1",scuola dell'infanzia
kneipp_water_cure,"1",laghetto; piscina; fontana
language_school,"1",scuola di lingue
lavoir,"-1",lavatoio
letter_box,"0",cassetta delle lettere
library,"1",biblioteca
locker,"0",armadietto
logistics,"0",logistica
lottery,"0",lotteria
marketplace,"1",mercato
milk_dispenser,"1",distributore di latte
monastery,"0",monastero
money_transfer,"0",trasferimento di denaro
mortuary,"-1",camera mortuaria
motorcycle_parking,"1",parcheggio moto
music_school,"1",scuola di musica
music_venue,"1",eventi musicali
nightclub,"-1",discoteca
nursing_home,"0",casa di riposo
parking,"1",parcheggio
parking_entrance,"0",ingresso parcheggio
parking_space,"1",parcheggio
parking_tickets,"0",parchimetro
pathway,"0",sentiero
pescicoltura,"0",pescicoltura
pharmacy,"1",farmacia
photo_booth,"0",cabina fotografica
place_of_worship,"0",luogo di culto
planetarium,"1",planetario
police,"1",polizia
post_box,"0",casella postale
post_depot,"0",deposito postale
post_office,"0",ufficio postale
prison,"-1",prigione
pub,"-1",pub
public_bath,"1",bagno pubblico
public_bookcase,"1",biblioteca
public_building,"1",edificio pubblico
public_wash-house,"0",lavatoio pubblico
ranger_station,"1",guardia forestale
recycling,"1",raccolta differenziata
research_institute,"1",istituto di ricerca
restaurant,"1",ristorante
restaurant; bar,"1",ristorante; bar
restaurant;bar,"1",ristorante; bar
restaurant;cafe,"1",ristorante; bar
sailing_school,"1",scuola di vela
sanitary_dump_station,"-1",discarica sanitaria
school,"1",scuola
scooter_rental,"1",noleggio veicoli
shelter,"0",rifugio
shower,"0",doccia
ski_rental,"1",noleggio sci
ski_school,"1",scuola di sci
small_electric_vehicle_parking,"0",parcheggio veicoli elettrici
social_centre,"1",centro sociale
social_club,"1",centro sociale
social_facility,"1",struttura sociale
spa,"0",terme
stripclub,"-1",stripclub
student_accommodation,"1",alloggio per studenti
studio,"0",studio
taxi,"0",taxi
telephone,"0",telefono
theatre,"1",teatro
ticket_booth,"1",biglietteria
tipography,"1",tipografia
toilets,"1",bagni
townhall,"0",municipio
training,"1",allenamento
typography,"1",tipografia
university,"1",università
vehicle_inspection,"0",ispezione veicolo
vending_machine,"1",distributore automatico
veterinary,"0",veterinario
video_games,"1",videogiochi
waste_basket,"1",cestino
waste_basket;bench,"1",cestino; panchina
waste_disposal,"0",smaltimento rifiuti
waste_transfer_station,"-1",stazione smaltimento rifiuti
water_point,"1",acqua potabile
watering_place,"1",acqua potabile
weighbridge,"0",pesa a ponte
woodshed,"0",legnaia
