"ITTER107","Territorio","TIPO_DATO14","Tipo dato","BARRARCH","Ambiente scolastico","PRESENZA","Presenza","ORDINESCOL","Ordine scolastico","NATGIUR","Tipo di gestione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","1","pubblica","2010","2010",54.36,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","1","pubblica","2011","2011",58.48,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","1","pubblica","2012","2012",58.65,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","1","pubblica","2013","2013",59.91,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","1","pubblica","2014","2014",56.6,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","1","pubblica","2015","2015",65.8,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","1","pubblica","2016","2016",62.73,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","1","pubblica","2017","2017",61.37,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","1","pubblica","2018","2018",63.76,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","1","pubblica","2019","2019",58.86,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","1","pubblica","2010","2010",29.69,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","1","pubblica","2011","2011",31.47,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","1","pubblica","2012","2012",30.16,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","1","pubblica","2013","2013",31.64,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","1","pubblica","2014","2014",29.22,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","1","pubblica","2015","2015",33.48,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","1","pubblica","2016","2016",31.35,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","1","pubblica","2017","2017",28.93,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","1","pubblica","2018","2018",28.58,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","1","pubblica","2019","2019",35.17,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","2","primaria","1","pubblica","2010","2010",15.95,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","2","primaria","1","pubblica","2011","2011",10.05,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","2","primaria","1","pubblica","2012","2012",11.19,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","2","primaria","1","pubblica","2013","2013",8.45,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","2","primaria","1","pubblica","2014","2014",14.18,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","2","primaria","1","pubblica","2015","2015",0.72,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","2","primaria","1","pubblica","2016","2016",5.92,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","2","primaria","1","pubblica","2017","2017",9.71,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","2","primaria","1","pubblica","2018","2018",7.66,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","2","primaria","1","pubblica","2019","2019",5.97,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","2","primaria","1","pubblica","2010","2010",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","2","primaria","1","pubblica","2011","2011",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","2","primaria","1","pubblica","2012","2012",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","2","primaria","1","pubblica","2013","2013",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","2","primaria","1","pubblica","2014","2014",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","2","primaria","1","pubblica","2015","2015",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","2","primaria","1","pubblica","2016","2016",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","2","primaria","1","pubblica","2017","2017",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","2","primaria","1","pubblica","2018","2018",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","2","primaria","1","pubblica","2019","2019",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","3","secondaria I grado","1","pubblica","2010","2010",59.35,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","3","secondaria I grado","1","pubblica","2011","2011",57.28,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","3","secondaria I grado","1","pubblica","2012","2012",60.45,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","3","secondaria I grado","1","pubblica","2013","2013",62.07,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","3","secondaria I grado","1","pubblica","2014","2014",58.61,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","3","secondaria I grado","1","pubblica","2015","2015",67.38,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","3","secondaria I grado","1","pubblica","2016","2016",64.33,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","3","secondaria I grado","1","pubblica","2017","2017",62.35,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","3","secondaria I grado","1","pubblica","2018","2018",65.88,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","3","secondaria I grado","1","pubblica","2019","2019",61.99,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","3","secondaria I grado","1","pubblica","2010","2010",31.8,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","3","secondaria I grado","1","pubblica","2011","2011",28.49,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","3","secondaria I grado","1","pubblica","2012","2012",29.11,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","3","secondaria I grado","1","pubblica","2013","2013",30.27,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","3","secondaria I grado","1","pubblica","2014","2014",28.49,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","3","secondaria I grado","1","pubblica","2015","2015",31.87,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","3","secondaria I grado","1","pubblica","2016","2016",29.73,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","3","secondaria I grado","1","pubblica","2017","2017",27.84,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","3","secondaria I grado","1","pubblica","2018","2018",26.96,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","3","secondaria I grado","1","pubblica","2019","2019",31.96,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","3","secondaria I grado","1","pubblica","2010","2010",8.85,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","3","secondaria I grado","1","pubblica","2011","2011",14.23,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","3","secondaria I grado","1","pubblica","2012","2012",10.43,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","3","secondaria I grado","1","pubblica","2013","2013",7.65,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","3","secondaria I grado","1","pubblica","2014","2014",12.89,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","3","secondaria I grado","1","pubblica","2015","2015",0.75,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","3","secondaria I grado","1","pubblica","2016","2016",5.94,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","3","secondaria I grado","1","pubblica","2017","2017",9.81,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","3","secondaria I grado","1","pubblica","2018","2018",7.16,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","3","non risponde","3","secondaria I grado","1","pubblica","2019","2019",6.05,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","3","secondaria I grado","1","pubblica","2010","2010",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","3","secondaria I grado","1","pubblica","2011","2011",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","3","secondaria I grado","1","pubblica","2012","2012",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","3","secondaria I grado","1","pubblica","2013","2013",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","3","secondaria I grado","1","pubblica","2014","2014",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","3","secondaria I grado","1","pubblica","2015","2015",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","3","secondaria I grado","1","pubblica","2016","2016",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","3","secondaria I grado","1","pubblica","2017","2017",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","3","secondaria I grado","1","pubblica","2018","2018",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","9","totale","3","secondaria I grado","1","pubblica","2019","2019",100,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","2","privata","2010","2010",31.03,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","2","privata","2011","2011",38.17,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","2","privata","2012","2012",34.85,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","2","privata","2013","2013",41.57,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","2","privata","2014","2014",35.27,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","2","privata","2015","2015",56,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","2","privata","2016","2016",36.63,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","2","privata","2017","2017",36.56,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","2","privata","2018","2018",39.8,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","1","presenza servizio","2","primaria","2","privata","2019","2019",35.78,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","2","privata","2010","2010",29.69,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","2","privata","2011","2011",31.17,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","2","privata","2012","2012",28.77,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","2","privata","2013","2013",32.47,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","2","privata","2014","2014",27.22,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","2","privata","2015","2015",41.33,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","2","privata","2016","2016",28.53,,
"IT","Italia","32","scuole per presenza di barriere architettoniche (composizione %)","1","accesso con rampe","2","assenza servizio","2","primaria","2","privata","2017","2017",27.62,,
