Istituzione Scolastica;Ordine Scolastico;Scuola/Indirizzo;Scuola/Indirizzo - Codice PAT;Numero Iscritti;Numero Classi
ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO;PRIMARIA;ASSOCIAZIONE R. STEINER - PRIMARIA;0222052148;117;5
ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO;SECONDARIA DI PRIMO GRADO;ASSOCIAZIONE R. STEINER - SECONDARIA I GRADO;0222053018;63;3
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO;PRIMARIA;SCUOLA PRIMARIA ARCIVESCOVILE TRENTO;0222052149;130;6
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO;0222053011;274;11
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO;SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO;0222055432;56;5
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO;SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0222055433;65;4
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO;SECONDARIA DI SECONDO GRADO;LICEO CLASSICO ARCIVESCOVILE - TRENTO;0222057214;46;4
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO;SECONDARIA DI SECONDO GRADO;LICEO LINGUISTICO ARCIVESCOVILE - TRENTO;0222057138;7;1
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO;SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO;0222057116;96;6
COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO;PRIMARIA;SCUOLA PRIMARIA ARCIVESCOVILE DAME INGLESI ROVERETO;0221612103;158;8
COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE DAME INGLESI ROVERETO;0221613006;203;15
COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO;SECONDARIA DI SECONDO GRADO;LICEO LINGUISTICO ARCIVESCOVILE DAME INGLESI - ROVERETO;0221617115;91;5
COOPERATIVA SOCIALE SACRA FAMIGLIA ONLUS;PRIMARIA;SCUOLA PRIMARIA SACRA FAMIGLIA TRENTO;0222052121;191;9
"Centro Formazione Professionale ""Centromoda Canossa"" - Trento";FORMAZIONE PROFESSIONALE;SETTORE INDUSTRIA E ARTIGIANATO;0222059698;221;10
Centro Formazione Professionale ENAIP - Arco;FORMAZIONE PROFESSIONALE;SETTORE INDUSTRIA E ARTIGIANATO;0220069699;184;9
Centro Formazione Professionale ENAIP - Borgo Valsugana;FORMAZIONE PROFESSIONALE;SETTORE INDUSTRIA E ARTIGIANATO;0220229699;191;13
Centro Formazione Professionale ENAIP - Cles;FORMAZIONE PROFESSIONALE;SETTORE INDUSTRIA E ARTIGIANATO;0220629699;160;8
Centro Formazione Professionale ENAIP - Ossana;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI;0221319699;104;8
Centro Formazione Professionale ENAIP - Primiero;FORMAZIONE PROFESSIONALE;SETTORE INDUSTRIA E ARTIGIANATO;0222049699;27;3
Centro Formazione Professionale ENAIP - Primiero;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI;0222049698;48;7
Centro Formazione Professionale ENAIP - Tesero;FORMAZIONE PROFESSIONALE;SETTORE INDUSTRIA E ARTIGIANATO;0221969698;101;5
Centro Formazione Professionale ENAIP - Tesero;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI;0221969699;139;8
Centro Formazione Professionale ENAIP - Tione di Trento;FORMAZIONE PROFESSIONALE;SETTORE INDUSTRIA E ARTIGIANATO;0221999698;197;10
Centro Formazione Professionale ENAIP - Tione di Trento;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI;0221999699;179;11
Centro Formazione Professionale ENAIP - Varone di Riva del Garda;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI;0221539699;326;19
Centro Formazione Professionale ENAIP - Villazzano;FORMAZIONE PROFESSIONALE;SETTORE INDUSTRIA E ARTIGIANATO;0222059697;514;28
Centro Formazione Professionale ENAIP - Villazzano;FORMAZIONE PROFESSIONALE;SETTORE INDUSTRIA E ARTIGIANATO SERALE;0222059692;43;6
Centro Formazione Professionale Opera Armida Barelli - Levico;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI;0221049699;196;11
Centro Formazione Professionale Opera Armida Barelli - Rovereto;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI;0221619698;412;22
Centro Formazione Professionale Pavoniano Artigianelli - Trento;FORMAZIONE PROFESSIONALE;SETTORE INDUSTRIA E ARTIGIANATO;0222059696;300;7
Centro Formazione Professionale UPT - Arco;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI;0221539698;178;9
Centro Formazione Professionale UPT - Cles;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI;0220629698;148;9
Centro Formazione Professionale UPT - Rovereto;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI;0221619694;61;4
Centro Formazione Professionale UPT - Tione di Trento;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI;0221999697;77;6
Centro Formazione Professionale UPT - Trento;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI;0222059699;339;17
Centro Formazione Professionale UPT - Trento;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI ROVERETO;2027;19;1
Centro Formazione Professionale UPT - Trento;FORMAZIONE PROFESSIONALE;SETTORE SERVIZI SERALE;0222059694;51;0
FONDAZIONE EDMUND MACH - ISTITUTO AGRARIO SAN MICHELE ALL'ADIGE;SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0221675102;494;26
FONDAZIONE EDMUND MACH - ISTITUTO AGRARIO SAN MICHELE ALL'ADIGE;FORMAZIONE PROFESSIONALE;SETTORE AGRICOLTURA E AMBIENTE;0221679698;326;26
GARDASCUOLA SOCIETA' COOPERATIVA SOCIALE - ARCO;PRIMARIA;SCUOLA PRIMARIA GARDASCUOLA ARCO;0220062106;117;8
GARDASCUOLA SOCIETA' COOPERATIVA SOCIALE - ARCO;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO GARDASCUOLA ARCO;0220063002;140;9
GARDASCUOLA SOCIETA' COOPERATIVA SOCIALE - ARCO;SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO;0220065401;106;7
GARDASCUOLA SOCIETA' COOPERATIVA SOCIALE - ARCO;SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE;0220067103;67;5
