Id,Comune,Sesso,Popolazione
022001,Ala,femmine,4377
022001,Ala,maschi,4415
022001,Ala,totale,8792
022002,Albiano,femmine,722
022002,Albiano,maschi,778
022002,Albiano,totale,1500
022003,Aldeno,femmine,1621
022003,Aldeno,maschi,1566
022003,Aldeno,totale,3187
022005,Andalo,femmine,670
022005,Andalo,maschi,598
022005,Andalo,totale,1268
022006,Arco,femmine,9122
022006,Arco,maschi,8676
022006,Arco,totale,17798
022007,Avio,femmine,2044
022007,Avio,maschi,2028
022007,Avio,totale,4072
022009,Baselga Di Pinè,femmine,2510
022009,Baselga Di Pinè,maschi,2564
022009,Baselga Di Pinè,totale,5074
022011,Bedollo,femmine,732
022011,Bedollo,maschi,738
022011,Bedollo,totale,1470
022013,Besenello,femmine,1365
022013,Besenello,maschi,1381
022013,Besenello,totale,2746
022015,Bieno,femmine,235
022015,Bieno,maschi,211
022015,Bieno,totale,446
022017,Bleggio Superiore,femmine,740
022017,Bleggio Superiore,maschi,776
022017,Bleggio Superiore,totale,1516
022018,Bocenago,femmine,200
022018,Bocenago,maschi,196
022018,Bocenago,totale,396
022021,Bondone,femmine,312
022021,Bondone,maschi,327
022021,Bondone,totale,639
022022,Borgo Valsugana,femmine,3549
022022,Borgo Valsugana,maschi,3435
022022,Borgo Valsugana,totale,6984
022025,Brentonico,femmine,2021
022025,Brentonico,maschi,2000
022025,Brentonico,totale,4021
022026,Bresimo,femmine,125
022026,Bresimo,maschi,125
022026,Bresimo,totale,250
022029,Caderzone Terme,femmine,343
022029,Caderzone Terme,maschi,338
022029,Caderzone Terme,totale,681
022032,Calceranica Al Lago,femmine,694
022032,Calceranica Al Lago,maschi,682
022032,Calceranica Al Lago,totale,1376
022033,Caldes,femmine,551
022033,Caldes,maschi,543
022033,Caldes,totale,1094
022034,Caldonazzo,femmine,1968
022034,Caldonazzo,maschi,1887
022034,Caldonazzo,totale,3855
022035,Calliano,femmine,994
022035,Calliano,maschi,1002
022035,Calliano,totale,1996
022036,Campitello Di Fassa,femmine,368
022036,Campitello Di Fassa,maschi,341
022036,Campitello Di Fassa,totale,709
022037,Campodenno,femmine,736
022037,Campodenno,maschi,784
022037,Campodenno,totale,1520
022038,Canal San Bovo,femmine,740
022038,Canal San Bovo,maschi,717
022038,Canal San Bovo,totale,1457
022039,Canazei,femmine,1066
022039,Canazei,maschi,949
022039,Canazei,totale,2015
022040,Capriana,femmine,282
022040,Capriana,maschi,297
022040,Capriana,totale,579
022042,Carisolo,femmine,482
022042,Carisolo,maschi,468
022042,Carisolo,totale,950
022043,Carzano,femmine,261
022043,Carzano,maschi,259
022043,Carzano,totale,520
022045,Castel Condino,femmine,112
022045,Castel Condino,maschi,107
022045,Castel Condino,totale,219
022047,Castello-Molina Di Fiemme,femmine,1149
022047,Castello-Molina Di Fiemme,maschi,1171
022047,Castello-Molina Di Fiemme,totale,2320
022048,Castello Tesino,femmine,575
022048,Castello Tesino,maschi,592
022048,Castello Tesino,totale,1167
022049,Castelnuovo,femmine,536
022049,Castelnuovo,maschi,530
022049,Castelnuovo,totale,1066
022050,Cavalese,femmine,2088
022050,Cavalese,maschi,1953
022050,Cavalese,totale,4041
022051,Cavareno,femmine,538
