Id,Comune,Sesso,Anni,Popolazione
022205,Trento,maschi,0,483
022205,Trento,femmine,0,417
022205,Trento,totale,0,900
022001,Ala,maschi,0,27
022001,Ala,femmine,0,29
022001,Ala,totale,0,56
022002,Albiano,maschi,0,6
022002,Albiano,femmine,0,6
022002,Albiano,totale,0,12
022003,Aldeno,maschi,0,15
022003,Aldeno,femmine,0,14
022003,Aldeno,totale,0,29
022005,Andalo,maschi,0,3
022005,Andalo,femmine,0,2
022005,Andalo,totale,0,5
022006,Arco,maschi,0,64
022006,Arco,femmine,0,65
022006,Arco,totale,0,129
022007,Avio,maschi,0,17
022007,Avio,femmine,0,11
022007,Avio,totale,0,28
022013,Besenello,maschi,0,12
022013,Besenello,femmine,0,18
022013,Besenello,totale,0,30
022015,Bieno,maschi,0,0
022015,Bieno,femmine,0,4
022015,Bieno,totale,0,4
022017,Bleggio Superiore,maschi,0,7
022017,Bleggio Superiore,femmine,0,4
022017,Bleggio Superiore,totale,0,11
022018,Bocenago,maschi,0,0
022018,Bocenago,femmine,0,3
022018,Bocenago,totale,0,3
022021,Bondone,maschi,0,2
022021,Bondone,femmine,0,1
022021,Bondone,totale,0,3
022022,Borgo Valsugana,maschi,0,25
022022,Borgo Valsugana,femmine,0,25
022022,Borgo Valsugana,totale,0,50
022029,Caderzone Terme,maschi,0,1
022029,Caderzone Terme,femmine,0,1
022029,Caderzone Terme,totale,0,2
022032,Calceranica Al Lago,maschi,0,3
022032,Calceranica Al Lago,femmine,0,3
022032,Calceranica Al Lago,totale,0,6
022033,Caldes,maschi,0,4
022033,Caldes,femmine,0,7
022033,Caldes,totale,0,11
022034,Caldonazzo,maschi,0,15
022034,Caldonazzo,femmine,0,16
022034,Caldonazzo,totale,0,31
022035,Calliano,maschi,0,9
022035,Calliano,femmine,0,7
022035,Calliano,totale,0,16
022036,Campitello Di Fassa,maschi,0,3
022036,Campitello Di Fassa,femmine,0,3
022036,Campitello Di Fassa,totale,0,6
022037,Campodenno,maschi,0,7
022037,Campodenno,femmine,0,7
022037,Campodenno,totale,0,14
022038,Canal San Bovo,maschi,0,7
022038,Canal San Bovo,femmine,0,3
022038,Canal San Bovo,totale,0,10
022039,Canazei,maschi,0,11
022039,Canazei,femmine,0,6
022039,Canazei,totale,0,17
022040,Capriana,maschi,0,2
022040,Capriana,femmine,0,3
022040,Capriana,totale,0,5
022042,Carisolo,maschi,0,1
022042,Carisolo,femmine,0,2
022042,Carisolo,totale,0,3
022043,Carzano,maschi,0,1
022043,Carzano,femmine,0,0
022043,Carzano,totale,0,1
022045,Castel Condino,maschi,0,0
022045,Castel Condino,femmine,0,1
022045,Castel Condino,totale,0,1
022048,Castello Tesino,maschi,0,7
022048,Castello Tesino,totale,0,7
022047,Castello-Molina Di Fiemme,femmine,0,7
022047,Castello-Molina Di Fiemme,totale,0,12
022050,Cavalese,maschi,0,12
022050,Cavalese,femmine,0,16
022050,Cavalese,totale,0,28
022051,Cavareno,maschi,0,6
022051,Cavareno,femmine,0,3
022051,Cavareno,totale,0,9
022052,Cavedago,maschi,0,2
022052,Cavedago,femmine,0,0
022052,Cavedago,totale,0,2
022053,Cavedine,maschi,0,13
022053,Cavedine,femmine,0,9
022053,Cavedine,totale,0,22
022054,Cavizzana,maschi,0,0
022054,Cavizzana,femmine,0,0
022054,Cavizzana,totale,0,0
022058,Cimone,maschi,0,3
022058,Cimone,femmine,0,2
022059,Cinte Tesino,maschi,0,1
022059,Cinte Tesino,femmine,0,1
