Nome,lat,lon,Tipo Istituto,Gestione,Comune,geometry,Id,Studenti,Classi
Liceo Delle Scienze Umane,46.2899142,11.467830193294564,Scuola Secondaria di Secondo Grado,Statale,Cavalese,POINT (11.467830193294564 46.2899142),2008,39,2
Scuola Primaria Ronchi Valsugana,46.06800920627712,11.435267787092267,Scuola Primaria,Statale,Ronchi Valsugana,POINT (11.435267787092267 46.06800920627712),2009,41,6
Scuola Primaria Brentonico,45.922970020176365,11.14273997542577,Scuola Primaria,Statale,Brentonico,POINT (11.14273997542577 45.922970020176365),2011,181,10
Settore Industria E Artigianato,45.89097000932833,11.04726003997365,Formazione professionale,Statale,Rovereto,POINT (11.04726003997365 45.89097000932833),2017,38,2
"Scuola Secondaria Di Primo Grado ""P. Rella"" Folgaria",45.917330005167685,11.168039995789542,Scuola Secondaria di Primo Grado,Statale,Folgaria,POINT (11.168039995789542 45.917330005167685),0220873001,58,3
Settore Servizi Serale,46.013440008281464,11.30494002779244,Formazione professionale,Statale,Levico Terme,POINT (11.30494002779244 46.013440008281464),2013,96,4
Settore Servizi Rovereto,45.89795748959229,11.036848147909966,Formazione professionale,Paritaria,Rovereto,POINT (11.036848147909966 45.89795748959229),2027,19,1
"Scuola Secondaria Di Primo Grado ""G. B. Lampi"" Fondo",46.43928,11.1366,Scuola Secondaria di Primo Grado,Statale,Borgo D'Anaunia,POINT (11.1366 46.43928),0220883001,219,12
Scuola Secondaria Di Primo Grado Brentonico,45.922970020176365,11.14273997542577,Scuola Secondaria di Primo Grado,Statale,Brentonico,POINT (11.14273997542577 45.922970020176365),2012,128,7
"Scuola Primaria ""C. Darwin"" Mezzolombardo",46.21359318,11.09245785,Scuola Primaria,Statale,Mezzolombardo,POINT (11.09245785 46.21359318),0221172101,386,20
Liceo Scientifico,46.06370881,11.1360572,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.1360572 46.06370881),0222057111,527,27
Liceo Scientifico Opzione Scienze Applicate,46.06370881,11.1360572,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.1360572 46.06370881),0222057130,375,19
Liceo Scientifico,46.06271509,11.12032636,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.12032636 46.06271509),0222057112,625,31
Liceo Scientifico Opzione Scienze Applicate,46.06271509,11.12032636,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.12032636 46.06271509),0222057134,872,40
Liceo Classico,46.06627324,11.12470189,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.12470189 46.06627324),0222057213,402,22
Scuola Primaria Nave San Rocco,46.16670624,11.10974565,Scuola Primaria,Statale,Terre D'Adige,POINT (11.10974565 46.16670624),0221262101,83,5
"Scuola Secondaria Di Primo Grado ""A. Eccher Dall'Eco"" Mezzolombardo",46.21227843,11.09672276,Scuola Secondaria di Primo Grado,Statale,Mezzolombardo,POINT (11.09672276 46.21227843),0221173001,276,15
Liceo Scientifico Opzione Scienze Applicate,46.21765617,11.09397786,Scuola Secondaria di Secondo Grado,Statale,Mezzolombardo,POINT (11.09397786 46.21765617),0221177104,150,11
Liceo Delle Scienze Umane Opzione Economico Sociale,46.21765617,11.09397786,Scuola Secondaria di Secondo Grado,Statale,Mezzolombardo,POINT (11.09397786 46.21765617),0221177105,158,9
Istituto Tecnico Per Il Settore Economico,46.21765617,11.09397786,Scuola Secondaria di Secondo Grado,Statale,Mezzolombardo,POINT (11.09397786 46.21765617),0221175403,259,13
Istituto Tecnico Per Il Settore Tecnologico,46.21765617,11.09397786,Scuola Secondaria di Secondo Grado,Statale,Mezzolombardo,POINT (11.09397786 46.21765617),0221175404,153,10
Istituto Tecnico Per Il Settore Economico Serale,46.21765617,11.09397786,Scuola Secondaria di Secondo Grado,Statale,Mezzolombardo,POINT (11.09397786 46.21765617),0221174403,86,8
Educazione Per Adulti Relativa Al Primo Ciclo,46.21765617,11.09397786,Educazione per adulti,Statale,Mezzolombardo,POINT (11.09397786 46.21765617),0221179901,229,8
Liceo Scientifico,46.21765617,11.09397786,Scuola Secondaria di Secondo Grado,Statale,Mezzolombardo,POINT (11.09397786 46.21765617),0221177103,199,11
"Scuola Secondaria Di Primo Grado ""G. Garibaldi"" Bezzecca",45.89516601,10.72084423,Scuola Secondaria di Primo Grado,Statale,Ledro,POINT (10.72084423 45.89516601),0220143001,155,8
Scuola Primaria Tiarno Di Sopra,45.88916535,10.67018708,Scuola Primaria,Statale,Ledro,POINT (10.67018708 45.88916535),0221972101,47,5
Scuola Primaria Molina Di Ledro,45.87024547,10.77418416,Scuola Primaria,Statale,Ledro,POINT (10.77418416 45.87024547),0221192101,59,5
"Scuola Primaria ""O. Ferrari"" Enguiso",45.90442179,10.72921443,Scuola Primaria,Statale,Ledro,POINT (10.72921443 45.90442179),0220652101,93,5
"Scuola Secondaria Di Primo Grado ""B. Malfatti"" Mori",45.85230766,10.98554092,Scuola Secondaria di Primo Grado,Statale,Mori,POINT (10.98554092 45.85230766),0221233001,311,15
Scuola Primaria Ronzo Chienis,45.89075034,10.95070541,Scuola Primaria,Statale,Ronzo-Chienis,POINT (10.95070541 45.89075034),0221352101,65,5
Scuola Primaria Mori,45.85173804,10.97434785,Scuola Primaria,Statale,Mori,POINT (10.97434785 45.85173804),0221232101,407,20
"Scuola Secondaria Di Primo Grado ""C. Andreatta"" Pergine Valsugana",46.0685614,11.24481204,Scuola Secondaria di Primo Grado,Statale,Pergine Valsugana,POINT (11.24481204 46.0685614),0221393001,376,17
Scuola Primaria S.Felice Fierozzo,46.11218853,11.3191694,Scuola Primaria,Statale,Fierozzo,POINT (11.3191694 46.11218853),0220852101,31,5
"Liceo Artistico ""Depero""- Rovereto",45.88731763,11.04592974,Scuola Secondaria di Secondo Grado,Statale,Rovereto,POINT (11.04592974 45.88731763),0221617114,382,21
Liceo Musicale Coreutico ,46.06905328,11.12627657,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.12627657 46.06905328),0222057137,231,15
"Liceo Artistico ""Vittoria"" - Trento",46.09325628,11.11621086,Scuola Secondaria di Secondo Grado,Statale,Trento,POINT (11.11621086 46.09325628),0222057136,667,34
Scuola Secondaria Di Primo Grado Arcivescovile Trento,46.062139997287716,11.121539963000231,Scuola Secondaria di Primo Grado,Paritaria,Trento,POINT (11.121539963000231 46.062139997287716),0222053011,276,11
Scuola Primaria Arcivescovile Trento,46.062139997287716,11.121539963000231,Scuola Primaria,Paritaria,Trento,POINT (11.121539963000231 46.062139997287716),0222052149,131,6
Liceo Scientifico Arcivescovile - Trento,46.062139997287716,11.121539963000231,Scuola Secondaria di Secondo Grado,Paritaria,Trento,POINT (11.121539963000231 46.062139997287716),0222057116,99,6
Liceo Classico Arcivescovile - Trento,46.062139997287716,11.121539963000231,Scuola Secondaria di Secondo Grado,Paritaria,Trento,POINT (11.121539963000231 46.062139997287716),0222057214,48,4
Istituto Tecnico Per Il Settore Tecnologico,46.062139997287716,11.121539963000231,Scuola Secondaria di Secondo Grado,Paritaria,Trento,POINT (11.121539963000231 46.062139997287716),0222055433,66,4
Istituto Tecnico Per Il Settore Economico,46.062139997287716,11.121539963000231,Scuola Secondaria di Secondo Grado,Paritaria,Trento,POINT (11.121539963000231 46.062139997287716),0222055432,56,5
Liceo Linguistico Arcivescovile - Trento,46.062139997287716,11.121539963000231,Scuola Secondaria di Secondo Grado,Paritaria,Trento,POINT (11.121539963000231 46.062139997287716),0222057138,7,1
Scuola Secondaria Di Primo Grado Sacro Cuore Trento,46.0675394,11.11956138,Scuola Secondaria di Primo Grado,Paritaria,Trento,POINT (11.11956138 46.0675394),0222053013,211,10
Scuola Primaria Sacro Cuore Trento,46.0675394,11.11956138,Scuola Primaria,Paritaria,Trento,POINT (11.11956138 46.0675394),0222052108,205,10
Liceo Artistico,46.0675394,11.11956138,Scuola Secondaria di Secondo Grado,Paritaria,Trento,POINT (11.11956138 46.0675394),0222057151,81,4
Liceo Delle Scienze Umane,46.0675394,11.11956138,Scuola Secondaria di Secondo Grado,Paritaria,Trento,POINT (11.11956138 46.0675394),0222057150,93,5
Istituto Tecnico Per Il Settore Tecnologico,46.0675394,11.11956138,Scuola Secondaria di Secondo Grado,Paritaria,Trento,POINT (11.11956138 46.0675394),0222055240,36,2
Scuola Secondaria Di Primo Grado Vigolo Vattaro,46.00445076,11.19680597,Scuola Secondaria di Primo Grado,Statale,Altopiano Della Vigolana,POINT (11.19680597 46.00445076),0222193001,153,7
