,Istituto Principale,Scuola,Tipo Istituto,Indirizzo,Comune,address,geometry
113,Circolo di coordinamento n. 11,Scuola dell'Infanzia di Ruffrè,Scuola dell'infanzia,"Maso Lana, 3",RUFFRE' - MENDOLA,"Ruffrè-Mendola, Trento",POINT (11.177270000000021 46.41543000000007)
139,Centro Formazione Professionale ENAIP - Cles,SETTORE INDUSTRIA E ARTIGIANATO,Formazione professionale,"Via Mitterer, 10",CLES,"Via Marco da Cles 10, 38023, Cles, Trento",POINT (11.036640001012302 46.36519998608398)
190,"LICEO SCIENTIFICO ""G. Galilei"" - TRENTO",LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE G. GALILEI,Scuola Secondaria di Secondo Grado,"Viale Bolognini, 88",TRENTO,"Via N. Bolognini 88, 38086, Pinzolo, Trento",POINT (10.76551183587125 46.163301244611695)
218,"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE","LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE ""LA ROSA BIANCA""",Scuola Secondaria di Secondo Grado,"Via Gandhi, 1",CAVALESE,"Cavalese, Trento",POINT (11.459390000000042 46.29168000000004)
227,"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE G. MARCONI,Scuola Secondaria di Secondo Grado,"Via Monti, 1",ROVERETO,"Via Vincenzo Monti 1, 41016, Novi di Modena, Modena",POINT (10.955999973675233 44.841660002638434)
278,"LICEO SCIENTIFICO ""G. Galilei"" - TRENTO",LICEO SCIENTIFICO G. GALILEI,Scuola Secondaria di Secondo Grado,"Viale Bolognini, 88",TRENTO,"Via N. Bolognini 88, 38086, Pinzolo, Trento",POINT (10.76551183587125 46.163301244611695)
297,"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE","ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO ""LA ROSA BIANCA""",Scuola Secondaria di Secondo Grado,"Via Gandhi, 1",CAVALESE,"Cavalese, Trento",POINT (11.459390000000042 46.29168000000004)
354,ISTITUTO COMPRENSIVO PERGINE 1,SCUOLA PRIMARIA S.FELICE FIEROZZO,Scuola Primaria,"Maso Ronca, 1",FIEROZZO - VLARÖTZ,"Fierozzo, Trento",POINT (11.318700000000035 46.110690000000034)
435,ISTITUTO COMPRENSIVO VALLE DI LEDRO,"SCUOLA SECONDARIA DI PRIMO GRADO ""G. GARIBALDI"" BEZZECCA",Scuola Secondaria di Primo Grado,"Via Falcone e Borsellino, 2, Bezzecca",LEDRO,"Bezzecca, Ledro, Trento",POINT (10.715980000000059 45.89524000000006)
448,Scuola dell'infanzia di S. Croce Bleggio,Scuola dell'Infanzia di S. Croce Bleggio,Scuola dell'infanzia,"Frazione Santa Croce di Bleggio Inferiore, 7",COMANO TERME,"Frazione Santa Croce, 38071, Bleggio Superiore, Trento",POINT (10.836338399679017 46.0243622721804)
495,Scuola dell'infanzia di Nago,Scuola dell'Infanzia di Nago,Scuola dell'infanzia,"Localita Tezze - Nago,  ",NAGO-TORBOLE,"Nago, Nago-Torbole, Trento",POINT (10.892120000000034 45.87843000000004)
499,ISTITUTO COMPRENSIVO TAIO,"SCUOLA SECONDARIA DI PRIMO GRADO ""F. BARBACOVI"" COREDO",Scuola Secondaria di Primo Grado,"Via delle Scuole, 6, Coredo",PREDAIA,"Coredo, Predaia, Trento",POINT (11.091360000000066 46.348790000000065)
500,Scuola dell'infanzia di Daone,Scuola dell'Infanzia di Daone,Scuola dell'infanzia,"Via Re di Castello - Daone, 57",VALDAONE,"Strada Provinciale di Daone 57, 38091, Valdaone, Trento",POINT (10.63376712375385 45.943177853136774)
519,ISTITUTO COMPRENSIVO STRIGNO E TESINO,SCUOLA PRIMARIA SAMONE,Scuola Primaria,"Via delle Praele, 21",SAMONE,"Via Pralle 21, 17027, Giustenice, Savona",POINT (8.256722736344761 44.16553485928225)
536,SCUOLA PARITARIA LA VELA - FONDAZIONE FAMIGLIA MATERNA - ROVERETO,"SCUOLA SECONDARIA DI PRIMO GRADO ""LA VELA"" ROVERETO",Scuola Secondaria di Primo Grado,"Via Saibanti, 6",ROVERETO,"Rovereto, Trento",POINT (11.043310000000076 45.88713000000007)
565,Scuola dell'infanzia di Mechel,Scuola dell'Infanzia di Mechel,Scuola dell'infanzia,"Via Don Luigi Borghesi, 35",CLES,"Cles, Trento",POINT (11.035550000000057 46.36451000000005)
566,"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE","LICEO DELLE SCIENZE UMANE ""LA ROSA BIANCA""",Scuola Secondaria di Secondo Grado,"Via Gandhi, 1",CAVALESE,"Cavalese, Trento",POINT (11.459390000000042 46.29168000000004)
573,"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE","LICEO LINGUISTICO ""LA ROSA BIANCA""",Scuola Secondaria di Secondo Grado,"Via Gandhi, 1",CAVALESE,"Cavalese, Trento",POINT (11.459390000000042 46.29168000000004)
620,"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE","EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO ""LA ROSA BIANCA""",Formazione per adulti,"Via Gandhi, 1",CAVALESE,"Cavalese, Trento",POINT (11.459390000000042 46.29168000000004)
636,"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE","LICEO SCIENTIFICO ""LA ROSA BIANCA""",Scuola Secondaria di Secondo Grado,"Via Gandhi, 1",CAVALESE,"Cavalese, Trento",POINT (11.459390000000042 46.29168000000004)
652,"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO G. MARCONI,Scuola Secondaria di Secondo Grado,"Via Monti, 1",ROVERETO,"Via Vincenzo Monti 1, 41016, Novi di Modena, Modena",POINT (10.955999973675233 44.841660002638434)
653,ISTITUTO COMPRENSIVO LAVIS,"SCUOLA SECONDARIA DI PRIMO GRADO ""A. STAINER"" LAVIS",Scuola Secondaria di Primo Grado,"Via Sette, 13/A",LAVIS,"Contrada dei Setti 13A, 38068, Rovereto, Trento",POINT (11.008279999256274 45.84242998894416)
666,"ISTITUTO COMPRENSIVO DEL CHIESE ""Don L. Milani""",SCUOLA PRIMARIA STORO - LODRONE,Scuola Primaria,"Via XXIV Maggio, 115",STORO,"Via 24 Maggio 115, 38087, Sella Giudicarie, Trento",POINT (10.699356438086522 46.007315735248895)
